R	B	G
50	116	166	
52	122	174	
52	123	179	
50	123	178	
50	123	176	
51	122	174	
54	122	169	
56	123	166	
60	123	164	
59	124	164	
57	126	167	
55	128	171	
52	129	175	
51	129	178	
48	130	180	
49	129	182	
51	127	177	
53	125	173	
60	123	167	
66	124	164	
73	125	164	
75	125	162	
73	123	160	
70	122	161	
71	122	165	
69	122	164	
63	119	156	
62	120	157	
58	120	157	
55	120	158	
51	118	160	
50	121	163	
51	125	170	
51	128	172	
49	123	168	
51	126	166	
53	127	166	
55	125	161	
55	124	157	
57	122	152	
59	123	151	
64	123	155	
70	124	170	
70	122	170	
70	121	166	
68	120	159	
68	118	153	
67	117	150	
67	117	150	
65	118	152	
71	123	162	
62	115	157	
64	116	163	
63	119	166	
54	112	162	
54	114	164	
61	123	172	
63	124	171	
56	112	163	
59	111	158	
65	112	154	
74	119	152	
85	125	150	
83	120	139	
53	90	108	
20	57	73	
35	77	93	
76	119	136	
65	108	127	
54	95	115	
76	114	135	
81	116	136	
47	78	96	
0	20	31	
16	17	21	
6	4	5	
29	38	47	
77	98	117	
89	124	152	
74	123	156	
68	123	162	
69	128	168	
66	124	162	
61	117	152	
68	119	150	
70	117	145	
55	99	124	
42	84	108	
32	74	96	
20	62	86	
15	59	86	
25	71	97	
42	87	110	
57	102	121	
70	113	129	
77	120	136	
83	126	143	
85	127	149	
79	123	150	
75	121	154	
70	120	157	
65	118	158	
61	119	159	
59	121	162	
60	123	164	
62	124	163	
69	122	162	
71	119	155	
71	115	144	
78	116	139	
83	114	132	
69	98	112	
58	90	103	
66	102	116	
68	109	127	
87	133	156	
59	110	139	
71	125	159	
65	121	158	
68	123	162	
57	112	151	
75	124	157	
54	90	114	
60	93	110	
63	101	122	
76	121	144	
73	123	150	
65	122	152	
61	124	159	
69	134	172	
55	124	165	
53	122	164	
56	123	168	
64	126	173	
70	128	174	
68	124	171	
69	121	168	
70	121	164	
68	118	153	
66	119	151	
60	123	158	
56	124	161	
52	124	164	
53	122	161	
60	120	154	
67	117	144	
87	120	139	
101	123	137	
105	121	134	
106	124	136	
104	130	145	
86	121	140	
69	115	139	
67	122	152	
62	120	157	
60	122	161	
60	123	164	
59	124	164	
57	122	164	
54	121	164	
54	123	165	
55	124	166	
53	122	164	
53	122	164	
54	121	163	
54	121	163	
57	120	161	
57	121	159	
58	120	159	
58	120	159	
57	121	159	
57	121	159	
57	121	159	
57	121	159	
57	121	159	
57	121	159	
58	120	159	
58	120	159	
62	121	161	
60	119	159	
58	117	157	
56	115	155	
57	115	155	
58	116	156	
60	118	158	
61	119	159	
55	122	165	
55	122	165	
55	122	165	
55	122	165	
55	122	165	
55	122	165	
55	122	165	
55	122	165	
55	122	165	
55	122	165	
56	123	166	
57	124	167	
57	124	167	
57	124	167	
56	123	166	
55	123	172	
51	120	179	
50	120	179	
50	122	170	
51	125	160	
50	128	151	
49	128	145	
49	126	146	
49	123	148	
58	128	164	
65	130	172	
58	121	165	
65	124	166	
70	126	159	
70	126	149	
78	135	146	
79	129	140	
95	133	152	
87	123	147	
100	141	169	
89	138	171	
77	132	171	
69	132	176	
53	119	169	
61	131	183	
62	133	187	
63	132	187	
68	131	184	
72	133	180	
81	134	178	
88	135	177	
94	138	177	
93	141	181	
101	157	204	
87	144	189	
95	139	176	
80	110	136	
45	59	72	
42	41	46	
51	41	39	
38	21	14	
19	0	0	
32	15	7	
38	25	19	
51	42	37	
61	56	53	
52	48	47	
32	30	31	
60	71	75	
83	119	135	
52	100	123	
43	94	123	
59	113	147	
68	127	169	
59	123	169	
51	118	170	
53	124	178	
53	124	180	
52	123	177	
53	123	174	
55	121	169	
57	120	163	
60	120	157	
64	120	155	
64	120	153	
63	122	154	
60	123	158	
56	124	163	
53	126	169	
50	126	175	
48	125	177	
48	125	177	
52	125	176	
55	123	172	
56	118	165	
64	123	167	
69	126	171	
66	123	168	
64	122	168	
65	123	173	
59	120	167	
68	127	167	
67	127	164	
63	127	165	
58	126	165	
54	123	165	
48	121	164	
45	122	166	
45	124	167	
46	123	167	
48	125	167	
53	127	166	
53	126	161	
55	124	155	
57	122	150	
59	123	150	
62	123	152	
69	127	165	
66	124	164	
64	120	155	
63	120	150	
64	122	146	
64	122	144	
62	120	142	
58	118	144	
66	127	156	
54	117	150	
57	119	158	
60	125	165	
51	118	161	
49	118	160	
54	126	166	
57	126	168	
61	121	173	
68	121	173	
78	127	170	
76	119	153	
56	94	117	
31	67	83	
7	41	51	
0	19	28	
47	87	97	
56	98	112	
28	71	88	
27	69	91	
66	107	129	
89	126	152	
62	98	124	
8	33	53	
16	23	31	
0	2	6	
23	39	52	
73	104	124	
76	121	152	
59	115	152	
57	120	163	
57	126	168	
64	131	173	
58	122	158	
61	120	152	
66	122	149	
67	119	143	
74	122	144	
72	120	140	
60	105	126	
35	76	98	
42	78	100	
48	84	100	
50	86	98	
55	89	98	
64	98	107	
79	113	123	
89	125	139	
87	123	145	
85	122	149	
80	121	151	
75	120	153	
71	120	153	
69	119	152	
65	118	149	
63	116	148	
70	119	152	
76	119	153	
75	112	139	
78	113	135	
85	117	132	
78	110	123	
75	109	121	
83	120	136	
65	110	129	
81	131	156	
64	119	150	
68	127	161	
69	127	165	
61	119	159	
64	122	162	
65	115	150	
57	97	122	
65	102	120	
70	112	134	
70	118	141	
68	122	150	
58	119	150	
52	118	153	
64	133	172	
51	122	164	
49	120	164	
55	122	167	
67	129	176	
73	131	177	
71	125	172	
68	119	166	
69	116	158	
70	116	150	
67	118	149	
59	119	155	
53	121	158	
50	124	163	
52	124	164	
58	122	158	
69	120	151	
81	117	141	
93	119	136	
97	116	131	
102	124	138	
106	135	153	
89	130	152	
68	119	148	
62	121	153	
56	118	157	
56	121	161	
59	124	166	
56	123	166	
54	121	164	
52	120	165	
53	121	166	
53	124	168	
51	122	166	
53	122	164	
54	121	163	
54	121	163	
57	120	161	
57	121	159	
58	120	159	
58	120	157	
57	121	159	
57	121	159	
57	121	159	
57	121	159	
57	121	159	
57	121	159	
58	120	159	
58	120	159	
61	120	160	
60	119	159	
58	117	157	
57	116	156	
59	117	157	
62	120	160	
66	124	164	
68	126	166	
56	123	166	
55	124	166	
56	123	166	
55	124	166	
56	123	166	
55	124	166	
56	123	166	
55	124	166	
56	123	166	
55	124	166	
57	124	167	
56	125	167	
57	124	167	
55	124	166	
55	122	165	
52	123	169	
50	122	180	
49	124	181	
50	127	173	
49	127	163	
48	128	155	
48	128	151	
52	130	153	
55	130	159	
50	123	158	
61	128	170	
47	110	153	
61	123	162	
73	130	160	
70	126	149	
86	142	155	
74	126	139	
86	131	152	
89	133	158	
102	149	179	
80	133	167	
73	131	171	
73	136	180	
53	119	167	
64	134	185	
61	128	180	
62	128	180	
65	127	176	
69	128	172	
75	128	170	
81	129	169	
86	130	167	
84	132	170	
91	145	191	
78	131	175	
80	123	157	
63	91	115	
38	52	63	
58	59	61	
75	68	62	
51	38	29	
40	27	18	
47	37	28	
55	47	44	
39	38	36	
64	65	67	
66	70	73	
34	39	43	
44	61	69	
77	116	133	
67	119	143	
60	117	147	
51	114	149	
53	118	160	
55	126	172	
55	127	177	
50	121	173	
57	127	178	
58	126	175	
60	124	168	
60	123	164	
60	122	159	
61	121	157	
62	121	155	
62	121	153	
62	121	153	
60	120	154	
56	122	157	
54	123	164	
52	125	170	
47	123	172	
47	123	173	
51	124	175	
57	127	178	
53	119	167	
61	123	170	
65	127	174	
58	120	167	
58	120	169	
61	124	175	
57	119	168	
61	122	166	
60	122	161	
60	123	164	
59	126	168	
57	126	168	
51	124	167	
48	123	165	
47	124	166	
48	123	165	
50	125	165	
53	127	164	
54	127	162	
55	124	157	
56	123	152	
57	122	150	
59	122	153	
58	120	157	
63	125	162	
70	131	162	
71	131	157	
70	128	150	
71	129	149	
77	135	155	
80	140	164	
67	131	158	
58	123	155	
62	128	163	
67	136	175	
60	129	168	
51	123	161	
48	122	157	
47	115	152	
62	119	164	
71	120	163	
76	120	157	
50	89	118	
5	40	59	
0	22	33	
15	45	53	
38	69	74	
57	91	100	
36	74	85	
9	48	65	
29	70	90	
65	107	132	
82	123	151	
87	128	158	
75	107	132	
38	54	67	
9	23	32	
30	56	71	
77	115	138	
71	121	154	
52	114	153	
58	127	169	
61	132	176	
52	123	165	
57	125	162	
68	131	164	
68	127	157	
63	119	146	
68	122	146	
70	124	148	
62	112	135	
75	119	144	
78	119	141	
74	112	133	
61	98	116	
45	83	96	
40	76	88	
44	80	94	
52	88	104	
77	112	132	
77	113	137	
78	115	142	
78	117	146	
79	120	148	
75	119	144	
72	116	141	
70	114	139	
70	111	139	
81	118	145	
82	117	139	
86	117	137	
94	123	137	
89	118	132	
77	113	127	
77	120	137	
65	117	141	
68	127	157	
57	120	155	
48	112	148	
68	128	165	
57	112	151	
77	127	164	
51	96	129	
63	101	122	
79	118	135	
84	127	146	
64	112	135	
64	120	147	
66	127	158	
57	123	158	
56	125	164	
53	124	166	
53	122	164	
59	126	171	
72	135	179	
79	137	183	
74	128	174	
69	120	165	
69	118	159	
67	115	151	
63	116	150	
58	118	154	
54	119	157	
52	121	162	
54	123	164	
61	123	160	
69	122	156	
78	119	147	
85	117	142	
85	113	135	
96	124	146	
105	141	165	
93	137	162	
69	122	153	
60	119	153	
54	116	155	
55	120	160	
57	122	164	
57	122	164	
52	119	162	
51	118	161	
51	120	162	
54	123	165	
53	122	164	
54	121	163	
54	121	163	
56	121	161	
57	121	159	
58	120	159	
58	120	157	
58	120	157	
57	121	157	
57	121	157	
57	121	159	
57	121	157	
57	121	159	
57	121	157	
58	120	159	
58	120	157	
58	117	157	
58	118	155	
59	117	157	
61	119	157	
67	122	163	
73	128	167	
78	133	174	
82	137	176	
54	123	164	
52	124	164	
54	123	164	
52	124	164	
54	123	164	
52	124	164	
54	123	164	
52	124	164	
54	123	164	
52	124	164	
54	123	164	
52	124	164	
54	123	164	
52	124	164	
54	123	164	
52	123	167	
50	124	171	
50	124	173	
50	124	169	
51	124	165	
51	125	164	
51	125	162	
52	124	162	
52	124	162	
56	125	164	
53	121	160	
59	124	164	
60	124	162	
57	120	155	
65	126	157	
67	128	157	
58	118	146	
64	119	150	
69	124	155	
72	128	161	
68	127	161	
66	126	163	
66	128	167	
66	129	170	
63	128	170	
60	123	166	
61	124	167	
62	125	168	
64	126	167	
66	125	167	
65	123	163	
64	122	160	
62	120	160	
71	130	174	
79	132	172	
61	105	134	
54	87	106	
71	90	96	
57	66	61	
41	43	32	
60	58	45	
55	53	40	
39	39	29	
67	69	64	
81	87	87	
74	84	86	
51	60	67	
18	28	37	
26	46	57	
68	107	124	
82	134	156	
53	112	142	
50	116	151	
58	131	172	
47	124	170	
51	128	174	
48	122	167	
55	124	165	
58	124	159	
61	124	159	
61	124	157	
60	124	159	
56	124	161	
52	124	164	
50	123	164	
54	123	162	
55	123	162	
54	123	164	
52	123	165	
52	123	167	
52	123	167	
52	123	169	
52	123	169	
54	122	167	
56	123	168	
58	122	166	
59	123	167	
59	123	167	
58	122	168	
58	122	168	
57	121	165	
59	122	165	
59	122	163	
58	123	163	
57	122	162	
55	122	164	
54	121	163	
53	122	163	
51	123	161	
54	123	162	
53	122	161	
52	122	158	
54	124	158	
56	126	160	
59	128	161	
58	127	158	
57	126	159	
59	127	166	
64	129	169	
67	130	165	
68	127	157	
69	123	149	
70	124	148	
75	129	153	
80	136	163	
69	128	158	
56	119	154	
59	124	162	
65	133	172	
61	129	168	
60	128	165	
66	132	167	
69	128	160	
81	127	153	
65	103	126	
58	93	113	
18	50	65	
2	30	41	
26	51	58	
41	64	70	
78	101	107	
58	85	94	
11	39	51	
10	43	60	
52	88	110	
70	110	136	
72	116	145	
79	123	158	
83	124	152	
50	77	96	
19	45	60	
66	101	121	
68	114	140	
63	117	153	
56	119	160	
55	122	165	
54	123	165	
57	124	166	
59	124	162	
60	123	158	
62	122	156	
63	122	154	
62	121	151	
61	122	153	
62	121	153	
64	118	152	
66	119	153	
67	117	150	
63	114	145	
57	106	136	
50	97	125	
42	88	114	
38	82	107	
57	99	124	
59	99	125	
62	102	128	
66	106	131	
74	111	137	
80	118	141	
86	122	146	
89	125	147	
80	117	136	
83	116	135	
89	117	131	
94	120	133	
98	121	135	
92	121	137	
79	117	138	
63	115	139	
59	124	156	
53	127	164	
47	122	161	
66	138	176	
63	123	159	
60	109	141	
83	118	146	
57	89	112	
75	111	127	
96	135	150	
86	129	146	
63	111	131	
65	119	145	
65	124	154	
57	120	155	
57	122	160	
53	120	162	
57	124	166	
64	128	172	
69	132	175	
70	131	175	
68	127	169	
66	121	162	
62	117	156	
61	116	157	
60	118	158	
61	120	160	
60	122	163	
60	122	163	
61	120	160	
62	117	156	
63	115	154	
65	114	147	
74	119	152	
76	117	147	
81	122	152	
91	135	164	
87	132	163	
74	121	151	
68	121	153	
60	120	156	
57	121	159	
57	121	159	
57	121	159	
57	121	159	
57	121	159	
57	121	159	
57	121	159	
57	121	159	
57	121	159	
57	121	159	
57	121	159	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
56	122	157	
56	122	156	
56	122	157	
55	121	155	
56	120	156	
55	119	154	
56	118	155	
58	118	154	
60	118	156	
61	119	156	
65	120	159	
68	124	161	
73	126	166	
78	132	170	
82	134	174	
84	136	175	
52	124	164	
52	124	164	
52	124	164	
52	124	164	
52	124	164	
52	124	164	
52	124	164	
52	124	164	
52	124	164	
52	124	164	
52	124	164	
52	124	164	
52	124	164	
52	124	164	
52	124	164	
52	123	165	
51	124	167	
51	124	167	
51	124	167	
52	123	167	
52	123	167	
52	123	165	
54	123	165	
54	123	164	
58	126	165	
55	123	162	
60	125	163	
61	126	164	
57	121	159	
63	127	163	
65	129	165	
55	119	155	
49	111	148	
57	117	154	
61	121	158	
58	120	157	
61	121	158	
63	125	162	
64	126	165	
63	125	164	
60	122	161	
59	123	161	
60	124	162	
60	124	162	
59	122	163	
59	122	163	
58	121	162	
57	120	161	
59	121	162	
61	117	154	
48	94	120	
48	81	98	
53	74	77	
26	39	32	
13	19	7	
44	46	32	
61	65	51	
45	51	41	
65	76	72	
79	93	94	
83	98	105	
61	78	88	
18	34	47	
7	30	44	
61	98	114	
84	132	154	
62	119	148	
50	116	151	
53	128	168	
47	126	169	
53	132	175	
49	124	164	
57	125	162	
60	125	157	
62	123	154	
62	123	154	
57	123	157	
52	124	162	
47	124	168	
46	124	170	
51	124	167	
52	123	165	
52	123	165	
52	123	165	
54	123	165	
54	123	165	
54	123	165	
54	123	165	
55	122	165	
55	122	165	
56	123	166	
56	123	166	
58	122	166	
58	122	166	
57	121	165	
57	121	165	
58	123	165	
58	123	165	
58	123	163	
57	122	162	
57	122	162	
57	122	162	
54	122	161	
54	122	159	
55	123	160	
54	122	159	
53	121	158	
55	123	158	
57	127	161	
59	129	163	
59	129	163	
58	128	162	
58	127	168	
62	129	171	
69	131	168	
70	129	161	
71	125	153	
73	124	151	
78	129	158	
79	134	164	
67	126	158	
64	127	162	
70	134	172	
70	135	173	
66	130	166	
73	133	167	
69	128	160	
59	109	134	
67	104	120	
54	87	96	
25	55	63	
14	41	48	
20	45	50	
41	62	67	
69	88	94	
80	100	107	
55	78	86	
22	48	61	
17	46	64	
31	66	88	
39	78	107	
56	101	134	
75	123	159	
81	126	159	
66	98	119	
32	63	81	
76	114	137	
76	123	151	
68	124	161	
61	124	165	
60	127	170	
61	128	171	
60	125	167	
61	125	163	
61	123	160	
63	123	159	
62	122	156	
60	123	158	
60	122	159	
59	123	159	
65	124	164	
66	125	165	
68	126	164	
67	125	163	
66	122	159	
62	116	152	
60	110	143	
57	106	138	
63	108	139	
64	108	137	
66	108	133	
69	109	134	
74	112	135	
79	117	140	
84	120	142	
87	122	142	
83	118	137	
86	119	134	
93	119	132	
97	120	134	
97	120	136	
91	120	138	
77	119	143	
63	118	148	
51	121	157	
48	127	166	
43	125	165	
54	128	165	
63	123	157	
73	119	145	
85	113	135	
63	89	106	
94	127	142	
94	134	146	
81	124	140	
64	112	132	
64	118	142	
68	125	154	
60	123	158	
55	120	158	
55	120	160	
56	123	165	
62	127	169	
65	130	172	
67	129	170	
64	126	165	
63	121	159	
60	118	158	
60	119	161	
61	120	164	
62	121	163	
63	122	164	
64	122	162	
65	120	161	
64	119	158	
64	118	156	
62	114	153	
69	119	156	
68	118	153	
72	121	154	
85	131	165	
83	129	162	
73	119	152	
69	119	152	
61	119	156	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
57	121	157	
56	122	156	
54	123	156	
56	122	156	
55	121	155	
56	120	155	
55	119	154	
58	118	154	
58	118	154	
61	119	156	
62	120	157	
68	122	160	
71	125	163	
75	127	166	
79	131	170	
83	132	172	
84	133	173	
54	123	164	
54	123	164	
54	123	164	
54	123	164	
54	123	164	
54	123	164	
54	123	164	
54	123	164	
54	123	164	
54	123	164	
54	123	164	
54	123	164	
54	123	164	
54	123	164	
54	123	164	
52	124	164	
51	122	164	
51	122	164	
51	122	164	
53	122	164	
53	122	164	
53	122	163	
53	122	163	
53	122	163	
59	127	166	
55	123	162	
59	127	166	
59	127	166	
57	122	162	
62	127	165	
65	130	168	
55	119	157	
60	122	161	
65	127	166	
66	128	167	
61	125	163	
59	121	160	
59	123	161	
58	121	162	
56	119	160	
61	124	165	
60	123	164	
59	123	161	
57	122	160	
57	122	160	
57	122	160	
57	122	160	
59	123	161	
66	130	168	
64	120	155	
56	102	128	
61	94	111	
55	76	81	
19	30	26	
11	17	7	
51	53	42	
66	69	60	
54	61	54	
66	78	78	
79	97	101	
90	113	121	
77	101	113	
23	49	64	
0	19	35	
41	78	94	
77	122	141	
73	127	153	
57	120	153	
50	122	162	
49	126	170	
56	133	177	
50	125	167	
58	127	166	
60	126	160	
60	123	156	
58	121	154	
56	120	156	
52	121	160	
48	123	165	
49	123	168	
50	123	166	
51	122	164	
51	122	164	
51	122	164	
53	122	164	
53	122	164	
53	122	164	
53	122	164	
54	121	164	
55	122	165	
57	121	165	
58	122	166	
58	122	166	
57	121	165	
57	121	165	
56	120	164	
58	123	165	
58	123	165	
58	123	165	
58	123	165	
57	122	164	
57	122	162	
57	122	162	
56	121	161	
55	123	162	
54	122	159	
53	121	158	
55	123	160	
58	126	163	
60	128	163	
60	128	163	
59	127	164	
58	125	167	
64	129	171	
69	131	168	
72	131	165	
72	127	157	
72	128	155	
74	129	159	
76	133	163	
63	123	157	
71	134	169	
80	142	179	
74	137	172	
70	129	161	
78	134	161	
72	122	147	
50	93	110	
70	104	113	
59	89	91	
14	42	45	
27	53	54	
51	75	75	
65	86	87	
93	112	116	
79	100	105	
51	74	82	
47	73	86	
47	78	98	
42	78	102	
39	80	110	
56	102	136	
71	121	158	
71	116	149	
72	104	125	
34	66	81	
76	114	137	
75	122	150	
66	122	159	
59	121	162	
59	124	166	
59	126	169	
61	126	168	
62	126	164	
62	125	160	
64	124	158	
64	124	160	
61	124	159	
61	123	160	
60	124	160	
62	121	161	
63	122	162	
65	125	162	
67	125	163	
69	125	162	
68	122	158	
68	121	155	
69	119	152	
68	117	149	
69	116	146	
67	112	141	
67	111	138	
70	112	137	
72	114	138	
76	116	141	
78	119	141	
83	121	142	
86	123	141	
94	123	141	
94	121	138	
92	119	138	
85	117	138	
75	119	144	
67	122	152	
53	121	156	
51	126	165	
50	128	166	
47	117	151	
65	122	152	
82	124	148	
73	100	119	
70	93	109	
111	144	159	
87	129	143	
73	119	135	
68	116	136	
64	118	142	
68	125	154	
64	127	162	
53	118	156	
56	121	161	
56	123	165	
60	125	167	
61	126	168	
63	125	166	
62	124	163	
63	121	159	
61	119	159	
61	120	162	
60	121	165	
61	123	164	
63	122	164	
63	122	162	
64	122	162	
65	120	159	
65	119	157	
61	115	153	
67	119	156	
65	115	150	
67	117	150	
78	127	160	
76	125	157	
68	117	149	
69	119	152	
61	119	156	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
57	121	157	
56	122	156	
56	122	156	
56	122	156	
55	121	155	
56	120	155	
55	119	154	
58	118	154	
58	118	154	
62	120	157	
63	121	158	
69	123	161	
72	126	164	
76	128	167	
77	129	168	
78	130	169	
78	130	169	
54	123	164	
54	123	164	
54	123	164	
54	123	164	
54	123	164	
54	123	164	
54	123	164	
54	123	164	
54	123	164	
54	123	164	
54	123	164	
54	123	164	
54	123	164	
54	123	164	
54	123	164	
54	123	164	
53	122	163	
53	122	163	
53	122	163	
53	122	163	
54	121	163	
53	122	163	
53	122	163	
53	122	163	
58	126	165	
54	122	161	
58	126	165	
58	126	165	
54	122	161	
59	127	166	
64	129	169	
53	118	158	
66	129	172	
70	133	176	
70	133	176	
63	128	170	
60	123	166	
59	124	166	
59	122	165	
55	120	160	
64	127	168	
62	127	167	
60	125	165	
59	124	162	
58	123	161	
59	124	162	
60	125	163	
61	126	164	
62	127	165	
61	120	154	
60	107	133	
63	96	113	
52	73	78	
21	31	30	
19	24	18	
53	56	49	
62	67	63	
60	70	71	
65	83	87	
75	99	109	
91	120	134	
81	117	133	
33	70	88	
0	25	43	
12	48	62	
61	100	117	
83	131	154	
71	128	158	
53	121	160	
52	125	168	
56	130	175	
50	124	169	
57	129	169	
58	126	163	
59	121	158	
57	120	155	
55	119	157	
52	120	159	
50	121	163	
50	123	166	
51	122	164	
51	122	164	
51	122	164	
51	122	164	
53	122	164	
53	122	164	
53	122	164	
53	122	164	
54	121	164	
54	121	164	
57	121	165	
57	121	165	
57	121	165	
57	121	165	
56	120	164	
56	120	164	
59	123	167	
59	124	166	
58	123	165	
58	123	165	
58	123	165	
57	122	164	
57	122	164	
57	122	162	
56	124	163	
54	122	161	
54	122	161	
55	123	160	
57	125	162	
57	125	162	
59	124	162	
55	123	160	
58	123	165	
62	127	169	
67	129	168	
71	129	166	
72	128	161	
70	127	157	
68	127	159	
68	128	162	
61	124	159	
69	132	167	
79	142	175	
76	135	165	
70	121	148	
74	121	141	
72	114	130	
57	94	103	
90	120	120	
75	101	98	
45	70	66	
57	79	76	
77	99	96	
83	103	102	
89	109	110	
73	94	99	
69	94	101	
76	104	116	
77	109	130	
66	103	129	
56	99	131	
62	110	146	
66	118	158	
66	112	146	
64	96	117	
27	56	72	
68	104	128	
71	116	145	
65	119	155	
56	118	159	
55	120	162	
56	123	165	
63	126	167	
63	127	165	
66	126	162	
65	125	159	
65	125	161	
62	125	160	
61	125	161	
61	125	161	
58	120	159	
60	119	159	
60	120	157	
60	120	157	
61	119	156	
63	119	156	
64	118	154	
64	118	152	
69	122	154	
69	120	151	
66	115	145	
65	112	142	
65	112	140	
66	113	139	
70	116	142	
71	117	143	
78	123	146	
84	125	147	
89	124	144	
89	121	142	
86	117	138	
79	115	139	
74	120	146	
69	124	154	
61	127	161	
52	125	160	
59	132	167	
51	117	149	
69	120	147	
77	115	136	
60	83	99	
83	105	119	
113	146	161	
79	121	137	
70	115	134	
72	123	144	
64	118	144	
65	122	152	
65	128	163	
54	118	156	
57	122	162	
55	122	164	
58	123	165	
58	123	163	
60	122	161	
60	122	161	
61	121	158	
61	120	160	
59	121	162	
60	121	165	
60	122	163	
60	122	163	
62	121	161	
62	121	161	
63	121	159	
64	119	158	
61	117	154	
66	120	156	
62	114	151	
61	114	148	
72	122	157	
71	121	154	
65	115	148	
67	120	152	
61	119	156	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
57	121	157	
57	121	156	
56	122	156	
56	122	156	
55	121	155	
56	120	155	
56	119	154	
58	118	154	
58	118	154	
61	119	156	
63	121	158	
68	124	161	
72	126	164	
74	126	165	
74	126	165	
73	125	164	
72	124	163	
54	123	162	
54	123	162	
54	123	162	
54	123	162	
54	123	162	
54	123	162	
54	123	162	
54	123	162	
54	123	162	
54	123	162	
54	123	162	
54	123	162	
54	123	162	
54	123	162	
54	123	162	
54	123	162	
54	122	161	
54	122	161	
54	122	161	
54	122	161	
56	121	161	
54	122	161	
54	122	161	
54	122	161	
56	124	163	
53	121	160	
55	124	165	
56	125	166	
51	120	161	
57	126	167	
60	127	169	
50	117	159	
51	118	161	
57	121	167	
59	123	169	
55	122	167	
56	120	164	
58	125	168	
62	126	170	
59	126	168	
63	128	170	
60	128	167	
58	126	165	
57	125	164	
56	124	161	
57	125	162	
58	126	163	
59	127	164	
58	126	161	
65	126	157	
70	118	141	
66	102	118	
55	75	82	
39	49	50	
42	46	45	
62	64	63	
63	68	71	
72	85	91	
72	94	107	
74	106	121	
80	121	139	
76	123	143	
43	94	115	
2	49	67	
0	24	39	
38	70	85	
80	122	144	
82	133	162	
61	123	160	
55	124	166	
52	125	170	
50	124	169	
57	128	172	
57	126	167	
58	121	162	
56	120	158	
56	118	157	
56	120	158	
54	121	163	
54	123	164	
53	122	163	
53	122	163	
53	122	163	
53	122	163	
53	122	163	
53	122	163	
54	121	163	
54	121	163	
54	121	163	
55	122	164	
57	122	164	
58	123	165	
58	123	165	
57	122	164	
58	121	164	
57	120	164	
59	123	167	
59	123	167	
59	123	167	
58	122	166	
58	122	166	
58	123	165	
57	122	164	
57	122	164	
59	124	166	
58	123	163	
56	121	161	
56	121	161	
57	122	162	
56	121	161	
56	119	160	
53	118	158	
57	120	163	
60	123	166	
64	126	165	
68	128	165	
68	126	163	
65	125	161	
62	124	161	
61	123	160	
62	126	162	
61	125	160	
71	132	163	
75	129	155	
64	111	129	
65	103	114	
77	108	113	
82	108	107	
91	114	106	
76	98	86	
83	103	94	
81	101	92	
85	104	98	
88	109	104	
71	91	90	
72	96	100	
93	120	129	
88	120	133	
77	113	135	
67	109	134	
63	109	142	
61	111	148	
63	116	158	
75	123	159	
64	96	117	
26	55	69	
69	105	127	
77	122	151	
72	126	162	
63	122	162	
57	122	164	
58	125	167	
63	126	167	
63	127	163	
66	126	162	
66	126	160	
63	126	161	
63	126	161	
61	125	161	
61	125	163	
61	123	160	
61	123	160	
60	122	159	
60	122	159	
62	122	158	
62	122	158	
63	121	158	
63	122	156	
69	125	160	
68	122	156	
65	120	151	
64	117	149	
63	116	148	
64	117	148	
66	119	150	
68	122	150	
72	123	150	
77	124	150	
82	124	149	
83	120	146	
80	116	142	
75	115	141	
72	119	147	
69	124	155	
64	129	161	
52	121	154	
64	130	162	
63	123	151	
73	119	142	
68	101	118	
60	79	93	
105	124	138	
100	136	152	
71	114	131	
69	116	136	
76	126	149	
64	118	144	
59	118	148	
65	125	161	
56	120	158	
57	122	162	
57	122	162	
56	121	161	
56	121	161	
58	120	159	
58	120	159	
61	121	158	
61	120	160	
58	121	162	
57	120	161	
57	120	161	
57	120	161	
58	120	159	
60	119	159	
60	120	157	
62	120	158	
59	117	154	
65	121	156	
60	116	151	
59	113	147	
67	120	154	
66	119	151	
62	115	147	
66	120	154	
60	120	156	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
58	120	157	
57	121	157	
57	121	156	
56	122	156	
57	121	156	
56	120	155	
57	120	155	
56	119	154	
58	118	154	
58	118	154	
59	117	154	
61	119	156	
65	121	158	
67	123	160	
69	123	161	
68	122	160	
67	121	159	
65	119	157	
54	123	162	
54	123	162	
54	123	162	
54	123	162	
54	123	162	
54	123	162	
54	123	162	
54	123	162	
54	123	162	
54	123	162	
54	123	162	
54	123	162	
54	123	162	
54	123	162	
54	123	162	
55	123	162	
57	122	160	
58	122	158	
58	122	160	
57	122	160	
57	122	160	
